instances,CS_Default,Insert,Merge
2610,0.5365,18.8423,1.149
2620,0.6081,18.6633,1.1576
2630,0.541,19.2944,1.1812
2640,0.537,19.2153,1.1474
2650,0.547,19.8088,1.1985
2660,0.5537,19.5838,1.1791
2670,0.5401,19.799,1.1991
2680,0.5541,19.7688,1.1927
2690,0.5535,20.488,1.2315
2700,0.5582,21.0478,1.2313
2710,0.556,20.3358,1.2485
2720,0.5647,20.0046,1.2892
2730,0.6085,21.2709,1.2282
2740,0.5573,20.8767,1.2082
2750,0.5602,20.6823,1.2238
2760,0.5693,21.0302,1.2488
2770,0.5631,21.452,1.2558
2780,0.5785,21.7794,1.2827
2790,0.5801,22.4389,1.318
2800,0.5723,22.3811,1.2601
2810,0.579,22.5784,1.2668
2820,0.5685,22.0088,1.2594
2830,0.5892,22.5754,1.306
2840,0.5846,22.7048,1.3046
2850,0.5994,23.1691,1.3324
2860,0.5872,23.0273,1.3311
2870,0.5986,23.1007,1.294
2880,0.604,24.2716,1.282
2890,0.6028,23.3748,1.2663
2900,0.6035,23.4456,1.2766
2910,0.6067,23.4994,1.273
2920,0.6029,24.0457,1.254
2930,0.6222,24.0393,1.2729
2940,0.6103,24.8854,1.2785
2950,0.6235,24.6018,1.2893
2960,0.6244,24.1011,1.3117
2970,0.6277,24.5169,1.2816
2980,0.6203,24.8437,1.287
2990,0.6183,25.4777,1.2902
